Date,Store Number,Inventory quantity,sin_day,cos_day,sin_month,cos_month
2017-01-01,3853,-0.405,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
2017-01-02,3853,12.095,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
2017-01-03,3853,20.18,0.5877852522924731,0.8090169943749475,0.49999999999999994,0.8660254037844387
2017-01-04,3853,28.09,0.7431448254773941,0.6691306063588582,0.49999999999999994,0.8660254037844387
2017-01-05,3853,23.63,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2017-01-06,3853,29.545,0.9510565162951535,0.30901699437494745,0.49999999999999994,0.8660254037844387
2017-01-07,3853,51.445,0.9945218953682733,0.10452846326765346,0.49999999999999994,0.8660254037844387
2017-01-08,3853,58.33,0.9945218953682734,-0.10452846326765333,0.49999999999999994,0.8660254037844387
2017-01-09,3853,49.145,0.9510565162951536,-0.30901699437494734,0.49999999999999994,0.8660254037844387
2017-01-10,3853,51.135,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
2017-01-11,3853,48.975,0.7431448254773945,-0.6691306063588579,0.49999999999999994,0.8660254037844387
2017-01-12,3853,41.685,0.5877852522924732,-0.8090169943749473,0.49999999999999994,0.8660254037844387
2017-01-13,3853,34.66,0.40673664307580004,-0.913545457642601,0.49999999999999994,0.8660254037844387
2017-01-14,3853,48.22,0.20791169081775931,-0.9781476007338057,0.49999999999999994,0.8660254037844387
2017-01-15,3853,52.695,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387
2017-01-16,3853,40.735,-0.20791169081775907,-0.9781476007338057,0.49999999999999994,0.8660254037844387
2017-01-17,3853,37.465,-0.4067366430758002,-0.9135454576426009,0.49999999999999994,0.8660254037844387
2017-01-18,3853,37.465,-0.587785252292473,-0.8090169943749475,0.49999999999999994,0.8660254037844387
2017-01-19,3853,31.38,-0.743144825477394,-0.6691306063588585,0.49999999999999994,0.8660254037844387
2017-01-20,3853,19.46,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
2017-01-21,3853,11.71,-0.9510565162951535,-0.30901699437494756,0.49999999999999994,0.8660254037844387
2017-01-22,3853,8.815,-0.9945218953682733,-0.10452846326765423,0.49999999999999994,0.8660254037844387
2017-01-23,3853,16.3,-0.9945218953682734,0.10452846326765299,0.49999999999999994,0.8660254037844387
2017-01-24,3853,26.41,-0.9510565162951536,0.30901699437494723,0.49999999999999994,0.8660254037844387
2017-01-25,3853,17.8,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2017-01-26,3853,15.665,-0.743144825477394,0.6691306063588585,0.49999999999999994,0.8660254037844387
2017-01-27,3853,7.83,-0.5877852522924734,0.8090169943749473,0.49999999999999994,0.8660254037844387
2017-01-28,3853,16.715,-0.40673664307580015,0.913545457642601,0.49999999999999994,0.8660254037844387
2017-01-29,3853,23.435,-0.20791169081775898,0.9781476007338057,0.49999999999999994,0.8660254037844387
2017-01-30,3853,32.685,-1.133107779529596e-15,1.0,0.49999999999999994,0.8660254037844387
2017-01-31,3853,30.21,0.2079116908177585,0.9781476007338058,0.49999999999999994,0.8660254037844387
2017-02-01,3853,25.34,0.20791169081775931,0.9781476007338057,0.8660254037844386,0.5000000000000001
2017-02-02,3853,21.1,0.40673664307580015,0.9135454576426009,0.8660254037844386,0.5000000000000001
2017-02-03,3853,10.905,0.5877852522924731,0.8090169943749475,0.8660254037844386,0.5000000000000001
2017-02-04,3853,12.395,0.7431448254773941,0.6691306063588582,0.8660254037844386,0.5000000000000001
2017-02-05,3853,16.17,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001
2017-02-06,3853,3.645,0.9510565162951535,0.30901699437494745,0.8660254037844386,0.5000000000000001
2017-02-07,3853,6.95,0.9945218953682733,0.10452846326765346,0.8660254037844386,0.5000000000000001
2017-02-08,3853,-1.435,0.9945218953682734,-0.10452846326765333,0.8660254037844386,0.5000000000000001
2017-02-09,3853,-3.94,0.9510565162951536,-0.30901699437494734,0.8660254037844386,0.5000000000000001
2017-02-10,3853,4.41,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
2017-02-11,3853,16.81,0.7431448254773945,-0.6691306063588579,0.8660254037844386,0.5000000000000001
2017-02-12,3853,22.12,0.5877852522924732,-0.8090169943749473,0.8660254037844386,0.5000000000000001
2017-02-13,3853,28.12,0.40673664307580004,-0.913545457642601,0.8660254037844386,0.5000000000000001
2017-02-14,3853,20.315,0.20791169081775931,-0.9781476007338057,0.8660254037844386,0.5000000000000001
2017-02-15,3853,15.34,5.66553889764798e-16,-1.0,0.8660254037844386,0.5000000000000001
2017-02-16,3853,13.255,-0.20791169081775907,-0.9781476007338057,0.8660254037844386,0.5000000000000001
2017-02-17,3853,9.305,-0.4067366430758002,-0.9135454576426009,0.8660254037844386,0.5000000000000001
2017-02-18,3853,11.392,-0.587785252292473,-0.8090169943749475,0.8660254037844386,0.5000000000000001
2017-02-19,3853,11.699,-0.743144825477394,-0.6691306063588585,0.8660254037844386,0.5000000000000001
2017-02-20,3853,21.319,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001
2017-02-21,3853,15.514,-0.9510565162951535,-0.30901699437494756,0.8660254037844386,0.5000000000000001
2017-02-22,3853,10.554,-0.9945218953682733,-0.10452846326765423,0.8660254037844386,0.5000000000000001
2017-02-23,3853,17.564,-0.9945218953682734,0.10452846326765299,0.8660254037844386,0.5000000000000001
